authors,year,month,what,title,venue,type
"Kelly, Z., & Franchak, J.M.",2026,May,Poster presented at the,The Effect of Cognitive Load on Full-Body Gaze Control During 3D Search,"meeting of the Vision Sciences Society, St. Pete Beach, FL",Poster
,2026,,"Keynote Speaker,",,UCR R'PSYC Undergraduate Conference,Colloquium
,2026,,"Invited Speaker,",,UC Riverside AI Seminar Series,Colloquium
"Luna, A., Kretch, K.S., & Franchak, J.M.",2025,November,Poster presented at the,Cross-sectional patterns in infants’ daily experiences in the first two years,meeting of the International Society for Developmental Psychobiology,Poster
"Wang, H., Rousey, H., & Franchak, J.M.",2025,November,Poster presented at the,Quantifying infants’ everyday opportunities for movement in the home,meeting of the International Society for Developmental Psychobiology,Poster
"Franchak, J.M., Wang, H., & Rousey, H.",2025,September,Paper presented at the,Full-day recordings of infant motor behavior,"Preconference workshop on machine learning for tracking early behavior and environments, IEEE International Conference on Learning and Development, Prague, Czechia",Paper
"Kelly, Z., & Franchak, J.M.",2025,June,Poster presented at the,The effects of cognitive load on full-body gaze control during 3D visual search,"meeting of the Cognitive Science Society, San Francisco, CA",Poster
"Wass, S., Franchak, J.M., & Knabe, M.",2025,September,"Co-organizer,",Machine learning for tracking early behavior and environments,"Preconference workshop for the IEEE International Conference on Learning and Development, Prague, Czechia",Organizing
"Rousey, H., Tang, M., Garcia, S., & Franchak, J.M.",2025,May,Paper presented at the,Skill acquisition vs. skill expression: Relating infants’ motor development and daily language input ,"meeting of the Society for Research in Child Development, Minneapolis, MN",Paper
"Guo, Y., Tang, M., & Franchak, J.M.",2025,May,Poster presented at the,Characterizing infant everyday postural experiences through repeated video sampling,"meeting of the Society for Research in Child Development, Minneapolis, MN",Poster
,2025,,"Invited Speaker,",,DARCLE (Daylong Audio Recordings of Children's Linguistic Environments) speaker series,Colloquium
"Kretch, K.S., Enriques, F., Franchak, J.M.",2024,August,Poster presented at the,Body position classification using wearable sensors in infants with cerebral palsy,Center for Smart Use of Technologies to Assess Real World Outcomes (C-STAR),Poster
"Franchak, J.M., Ford, J., Luna, A., & Fausey, C.M.",2024,July,Poster presented at the,Longitudinal changes in infants’ daily routines moderate object holding,"International Congress on Infant Studies, Glasgow, Scotland",Poster
"Franchak, J.M., Rousey, H., Tang, M., & Garcia, S.",2024,July,Paper presented at the,Full-day wearable sensor measurements reveal age-related increases in infant positional variability,"International Congress on Infant Studies, Glasgow, Scotland",Paper
"Franchak, J.M.",2024,July,Paper presented at the,From instants to experiences: How ecological momentary assessment can characterize infants’ everyday activity,"International Congress on Infant Studies, Glasgow, Scotland",Paper
"Franchak, J.M.",2024,July,Paper presented at the,Classifying movement categories from continuously-recording wearable sensors,"Preconference workshop on measuring complex infant behaviours using machine learning and computer vision, International Congress on Infant Studies, Glasgow, Scotland",Paper
"Tamis-Lemonda, C., Franchak, J.M., & Ossmy, O.",2024,July,"Symposium Organizer and Chair,",Infancy in context: Emerging approaches and technologies,"International Congress on Infant Studies, Glasgow, Scotland",Organizing
,2024,,"Invited Program, ",,"IEEE International Conference on Learning and Development, Austin, TX",Colloquium
"Kuznia, A., Miko, J., McComb, K., Fausey, C.M., & Franchak, J.M.",2024,March,Poster presented at the,The everyday objects that younger and older USA infants hold,"meeting of the Cognitive Development Society, Pasadena, CA",Poster
"Guo, Y., Tang, M., & Franchak, J.M.",2024,March,Poster presented at the,Characterizing infant object experience through repeated video sampling across the day,"meeting of the Cognitive Development Society, Pasadena, CA",Poster
"Rousey, H., Tang, M., Garcia, S., & Franchak, J.M.",2024,March,Poster presented at the,Exploring the relation between infant body position and adult language input across the day,"meeting of the Cognitive Development Society, Pasadena, CA",Poster
"Luna, A., Kretch, K.S., & Franchak, J.M.",2024,March,Poster presented at the,Predictors of skill expression in infants' everyday behavior,"meeting of the Cognitive Development Society, Pasadena, CA",Poster
"Tang, M., Rousey, H., Garcia, S., & Franchak, J.M.",2024,March,Poster presented at the,Does infant vocalization increase when sitting in daily life?,"meeting of the Cognitive Development Society, Pasadena, CA",Poster
"Franchak, J.M., Wass, S., Rocha, S., & Nguyen, Q.T.",2024,July,"Organizer, ",Measuring complex infant behaviours using machine learning and computer vision,"Preconference Workshop for the International Congress on Infant Studies, Glasgow, Scotland",Organizing
,2024,,,,"Department of Psychology, Univ. of California, Merced, Merced, CA",Colloquium
"Tang, M., Rousey, H., Luo, C., & Franchak, J.M.",2023,April,Poster presented at the,Predicting infant body position in naturalistic environments using inertial sensors,meeting of the Western Psychological Association ,Poster
"Guo, Y., Tang, M., & Franchak, J.M.",2023,April,Poster presented at the,Feasibility of video ecological momentary assessment for measuring infant behavior,meeting of the Western Psychological Association ,Poster
"Ford, J., Luna, A., Kadooka, K., Fausey, C., & Franchak, J.M.",2023,April,Poster presented at the,Discovering individual differences in infant activity through ecological momentary assessment,meeting of the Western Psychological Association ,Poster
"Rousey, H., Tang, M., Luo, C., & Franchak, J.M.",2023,April,Poster presented at the,Examining the relation between language input and infant body position across the entire day,meeting of the Western Psychological Association ,Poster
"Franchak, J.M.",2023,,"Invited Speaker,",,"James S. McDonnell Foundation Opportunity Awardees Meeting, Wellesley, MA",Colloquium
"Hospodar, C.M., Franchak, J.M., & Adolph, K.E.",2023,June,Paper presented at the,"Performance and perception In walking versus throwing: Variability, accuracy, and practice effects",North American Society for the Psychology of Sport and Physical Activity,Paper
"Yu, C., Franchak, J.M., & Castellanos, I.",2022,July,"Co-organizer,",Tutorial on using head-mounted eye tracking in infant research,"Preconference Workshop for the International Congress on Infant Studies, Ottawa, Canada",Organizing
"Franchak, J.M., Kadooka, K. , & Fausey, C.",2022,July,Paper presented at the,Longitudinal effects of independent walking on postural and object experiences in home life,"meeting of the International Congress on Infant Studies, Ottawa, Canada",Paper
"Franchak, J.M.",2022,July,Paper presented at the,Head-mounted eye tracking data collection and coding,"Preconference Tutorial on Using Head-Mounted Eye Tracking in Infant Research, International Congress on Infant Studies, Ottawa, Canada",Paper
,2022,,,,"Department of Psychology, Univ. of Wisconsin, Madison, Madison, WI",Colloquium
,2022,,,,"Department of Human Development and Family Studies, Univ. of Wisconsin, Madison, Madison, WI",Colloquium
,2022,,,,"Department of Psychology, Univ. of California, San Diego, San Diego, CA",Colloquium
,2022,,"Invited Program, ",,Understanding Vision Virtual Conference,Colloquium
"Kadooka, K. , Caufield, M., Fausey, C., & Franchak, J.M.",2021,April,Paper presented at the,Visuomotor learning opportunities are nested within infants’ everyday activities,meeting of the Society for Research in Child Development. [Virtual],Paper
"Franchak, J.M.",2021,April,Paper presented at the,Measuring infants’ naturalistic motor behavior with wearable inertial sensors and machine-learning classification,meeting of the Society for Research in Child Development. [Virtual],Paper
"Gagnon, H.C., Rohovit, T., Finney, H., Zhao, Y., Franchak, J.M., Stefanucci, J.K., Creem-Regehr, S.H., & Bodenheimer, R.E.",2021,March,Paper presented at the,The effect of feedback on estimates of reaching ability in virtual reality,2021 IEEE Virtual Reality meeting. [Virtual],Paper
"Yu, C., Franchak, J.M., & Castellanos, I.",2020,July,"Co-organizer,",Tutorial on using head-mounted eye tracking in infant research,"Preconference Workshop for the International Conference on Infant Studies, Glasgow, Scotland (Cancelled)",Organizing
"Franchak, J.M.",2020,July,Paper presented at the,Head-mounted eye tracking data collection and coding,"Preconference Tutorial on Using Head-Mounted Eye Tracking in Infant Research, International Conference on Infant Studies, Glasgow, Scotland (Cancelled)",Paper
"Jing, M., Kadooka, K., Franchak, J.M., & Kirkorian, H.",2020,October,Poster presented at the,The effect of comprehensibility on saliency-based gaze prediction for children and adults watching video,meeting of the International Society for Developmental Psychobiology. [Virtual],Poster
"Blanch, G., McGee, B., & Franchak, J.M.",2020,October,Poster presented at the,Task demands influence eye-head coordination,meeting of the Western Psychological Association [Virtual],Poster
"Franchak, J.M., & Kadooka, K.",2020,July,Poster presented at the,Television experience predicts infants' sensitivity to different face-looking cues when viewing videos,International Congress on Infant Studies [Virtual],Poster
"Kadooka, K., McGee, B., Truong, T., Luo, C., & Franchak, J.M.",2020,July,Poster presented at the,The influence of centering and saliency on infants’ real-world visual attention,International Congress on Infant Studies [Virtual],Poster
"McGee, B., Michaels, K., & Franchak, J.M.",2020,July,Poster presented at the,Associative learning modulates infants’ attentional selection in a free-viewing task,International Congress on Infant Studies [Virtual],Poster
"Lozano-Ziebart, S., Wagman, J.B., Franchak, J.M.  & Farmer-Dougan, V.",2019,October,Paper presented at the,Dogs in the gray zone: Canine perception for going over or under a barrier,"International Canine Sciences Conference, Phoenix, AZ",Paper
"Franchak, J.M. & Kadooka, K.",2019,October,Poster presented at the,"Visual saliency guides orienting to dynamic faces in infants, children, and adults","Biennial meeting of the Cognitive Development Society, Louisville, KY",Poster
"Kadooka, K., & Franchak, J.M.",2019,October,Poster presented at the,Developmental differences in attention to action-specific information,"Biennial meeting of the Cognitive Development Society, Louisville, KY",Poster
"Jing, M., Kadooka, K., Franchak, J.M., & Kirkorian, H.",2019,October,Poster presented at the,The effect of comprehensibility on saliency-based gaze prediction for children and adults watching Sesame Street,"Biennial meeting of the Cognitive Development Society, Louisville, KY",Poster
"Lozano-Ziebart, S., Wagman, J.B., Franchak, J.M.  & Farmer-Dougan, V.",2019,August,Poster presented at the,Dogs in the gray zone: Canine perception for going over or under a barrier,"American Psychological Association Convention, Chicago, IL",Poster
"Luo, C., & Franchak, J.M.",2019,March,Poster presented at the,Looking compensates for postural constraints: Infants center gaze targets in view when looking,"Biennial meeting of the Society for Research in Child Development, Baltimore, MD",Poster
"Gauvain, M.T., Harmon, D., Cheong, Y., & Franchak, J.M.",2019,February,Poster presented at the,An eye tracking study of children's use of plans to construct objects alone and with mother,"International Convention of Psychological Science, Paris, France",Poster
,2019,,,,"Institute of Human Development, Univ. of California, Berkeley, Berkeley, CA",Colloquium
"Yu, C., Franchak, J.M., & Castellanos, I.",2018,June,"Co-organizer,",Tutorial on using head-mounted eye tracking in infant research,"Preconference Workshop for the International Conference on Infant Studies, Philadelphia, PA",Organizing
"Franchak, J.M.",2018,June,Paper presented at the,Head-mounted eye tracking data collection and coding,"Preconference Tutorial on Using Head-Mounted Eye Tracking in Infant Research, International Congress on Infant Studies, Philadelphia, PA",Paper
"Luo, C., & Franchak, J.M.",2018,October,Poster presented at the,Spatial structure of mobile infants’ visual experiences in natural interaction with caregivers and objects,"meeting of the International Society for Developmental Psychobiology, San Diego, CA",Poster
"Franchak, J.M.",2018,October,Poster presented at the,Developing motor abilities alter infants’ everyday experiences,"meeting of the International Society for Developmental Psychobiology, San Diego, CA",Poster
"Kadooka, K., & Franchak, J.M.",2018,July,Poster presented at the,Variation in the influence of bottom-up and top-down features on adult-like gaze,"International Congress on Infant Studies, Philadelphia, PA",Poster
"Labinger, E., Monson, J.R., & Franchak, J.M.",2018,April,Poster presented at the,Do adults practice effectively when recalibrating to altered motor abilities?,"meeting of the Western Psychological Association, Portland, OR",Poster
,2018,,,,"Center for Cognition, Action, & Perception, Univ. of Cincinnati, Cincinnati, OH",Colloquium
,2018,,,,"Department of Psychology, Univ. of California, Los Angeles, Los Angeles, CA",Colloquium
"Kadooka, K., & Franchak, J.M.",2017,October,Paper presented at the,Eye movement patterns while viewing screen-based media: Age-related changes from infancy to adulthood,"Cognitive Development Society meeting on Digital Media and Cognitive Development, Portland, OR",Paper
"Choi, K. , Schlesinger, M.A. , Richert, R.A., & Franchak, J.M.",2017,May,Paper presented at the,Character perceptions guide children’s looking to and learning from on-screen characters,"International Communication Association Annual Conference, San Diego, CA",Paper
"Kadooka, K., & Franchak, J.M.",2017,October,Poster presented at the,Development of adult-like gaze behavior in infants and children when viewing video media,"11th Biennial Meeting of the Cognitive Development Society, Portland, OR",Poster
